iter	RMSE
0	9.13458636
1	8.941638473
2	8.737545373
3	8.573691771
4	8.425222948
5	8.266667508
6	8.118577712
7	7.951022262
8	7.813797432
9	7.666860723
10	7.533007626
11	7.403168647
12	7.26616505
13	7.121400729
14	6.99414169
15	6.855487996
16	6.727743558
17	6.607979646
18	6.496449339
19	6.387628084
20	6.288786295
21	6.187821636
22	6.093178701
23	6.003209243
24	5.90223634
25	5.816417705
26	5.737820547
27	5.653303094
28	5.567823839
29	5.476707405
30	5.391890817
31	5.3160886
32	5.249082325
33	5.181664339
34	5.115761168
35	5.048921765
36	4.98812064
37	4.930236456
38	4.864279155
39	4.792280824
40	4.725436282
41	4.663646276
42	4.615919794
43	4.566805744
44	4.515290128
45	4.462028166
46	4.406408191
47	4.352920387
48	4.304723217
49	4.258643334
50	4.213335199
51	4.16939926
52	4.132572063
53	4.097111068
54	4.05962298
55	4.018732644
56	3.977959618
57	3.93817109
58	3.907179534
59	3.870052641
60	3.839809664
61	3.800194812
62	3.768240773
63	3.739678074
64	3.705030358
65	3.677958976
66	3.646571659
67	3.621308762
68	3.591261312
69	3.56160997
70	3.538721721
71	3.509982829
72	3.485067623
73	3.46035723
74	3.434856181
75	3.408364577
76	3.380631772
77	3.348593312
78	3.329304997
79	3.312652328
80	3.292321374
81	3.269143088
82	3.248389489
83	3.230369192
84	3.211349871
85	3.192891094
86	3.178922403
87	3.161901592
88	3.145399182
89	3.126251302
90	3.10245033
91	3.087726762
92	3.071300794
93	3.057422992
94	3.040418434
95	3.035039131
96	3.017199914
97	3.00355004
98	2.985331304
99	2.971195543
100	2.954330517
101	2.938493822
102	2.923292706
103	2.909589666
104	2.895758931
105	2.880961466
106	2.865057575
107	2.856631188
108	2.843928985
109	2.831991732
110	2.817148088
111	2.807345919
112	2.7952588
113	2.785059305
114	2.779409288
115	2.768479297
116	2.756975079
117	2.748169709
118	2.735010295
119	2.728077104
120	2.716296253
121	2.708491488
122	2.701774604
123	2.69432545
124	2.687865018
125	2.674660704
126	2.659098402
127	2.651456221
128	2.640255796
129	2.631928222
130	2.623827766
131	2.613470001
132	2.605939135
133	2.599103505
134	2.591265435
135	2.587734239
136	2.581250519
137	2.572328061
138	2.560705556
139	2.554504732
140	2.544511185
141	2.538807389
142	2.532783925
143	2.527116647
144	2.522159483
145	2.51472236
146	2.509427061
147	2.499400591
148	2.49245883
149	2.488377258
150	2.483605558
151	2.474329914
152	2.466826385
153	2.459145524
154	2.452866021
155	2.444169318
156	2.432231701
157	2.429973785
158	2.422312593
159	2.416385134
160	2.409347611
161	2.407787828
162	2.396114578
163	2.390022348
164	2.379922306
165	2.377935996
166	2.374595672
167	2.370275135
168	2.3681796
169	2.360649909
170	2.357692533
171	2.352248897
172	2.347393605
173	2.341011683
174	2.338959123
175	2.336435837
176	2.333951174
177	2.327364536
178	2.318483617
179	2.308931865
180	2.301443844
181	2.295211378
182	2.288998282
183	2.283642392
184	2.275257214
185	2.269524575
186	2.261262307
187	2.259717784
188	2.253708229
189	2.247075287
190	2.242079427
191	2.234967636
192	2.22886302
193	2.222628151
194	2.218683797
195	2.213938098
196	2.209671026
197	2.207141873
198	2.200933257
199	2.193199503
200	2.192003613
201	2.186562142
202	2.180078025
203	2.176444127
204	2.174679246
205	2.166351433
206	2.165025682
207	2.16057591
208	2.153169993
209	2.147082702
210	2.140422883
211	2.134471149
212	2.128924722
213	2.124070606
214	2.120838826
215	2.118391838
216	2.113117941
217	2.108804383
218	2.107423488
219	2.103392973
220	2.098890526
221	2.095780744
222	2.088817808
223	2.082681207
224	2.080842539
225	2.078087224
226	2.076494551
227	2.072333535
228	2.067945193
229	2.063445104
230	2.057316903
231	2.053090973
232	2.052486112
233	2.046215737
234	2.040527604
235	2.037654961
236	2.032679927
237	2.029278071
238	2.025016346
239	2.020481995
240	2.014033745
241	2.007989901
242	2.003893634
243	1.99912163
244	1.994104171
245	1.989368781
246	1.984315358
247	1.982941345
