iter	Passed	Remaining
0	2	287
1	8	422
2	14	465
3	17	419
4	21	415
5	27	423
6	30	403
7	33	383
8	40	407
9	44	402
10	45	370
11	49	359
12	53	359
13	58	359
14	61	349
15	65	341
16	72	351
17	77	351
18	80	342
19	85	341
20	89	337
21	92	329
22	96	321
23	100	317
24	107	322
25	111	316
26	115	312
27	120	310
28	123	303
29	127	297
30	133	298
31	139	296
32	142	289
33	147	286
34	153	284
35	156	278
36	159	271
37	164	269
38	169	265
39	173	259
40	175	253
41	181	250
42	185	245
43	188	239
44	191	234
45	198	232
46	202	228
47	205	222
48	211	219
49	215	215
50	218	210
51	222	205
52	229	203
53	235	200
54	239	195
55	246	193
56	249	188
57	252	182
58	255	177
59	262	175
60	267	171
61	270	165
62	275	162
63	280	157
64	283	152
65	287	147
66	295	145
67	299	140
68	302	135
69	308	132
70	312	127
71	315	122
72	316	117
73	321	112
74	326	108
75	330	104
76	333	99
77	339	95
78	343	91
79	346	86
80	349	82
81	358	78
82	361	73
83	364	69
84	368	65
85	373	60
86	375	56
87	379	51
88	385	47
89	387	43
90	391	38
91	395	34
92	402	30
93	405	25
94	409	21
95	411	17
96	417	12
97	423	8
98	426	4
99	431	0
